age,calls,activeCalls,sms,data,subscription_a,subscription_b,subscription_c,subscription_d,plan,score
88,1,4,1,6,0,0,0,0,1,100
43,0,6,2,17,0,0,0,0,1,68
24,1,8,2,43,0,0,0,0,1,78
82,2,7,1,40,0,0,0,0,1,132
60,0,12,1,11,0,0,0,0,1,84
50,3,8,0,34,0,0,0,0,1,95
73,0,5,2,42,0,0,0,0,1,122
33,5,12,2,26,0,0,0,0,1,78
36,3,8,1,50,0,0,0,0,1,98
76,1,9,0,40,0,0,0,0,1,126
57,3,7,1,42,0,0,0,0,1,110
32,2,11,0,23,0,0,0,0,1,68
43,3,12,0,6,0,0,0,0,1,64
62,1,5,2,34,0,0,0,0,1,104
91,0,4,0,33,0,0,0,0,1,128
52,2,12,0,11,0,0,0,0,1,77
83,2,4,0,9,0,0,0,0,1,98
48,4,11,0,39,0,0,0,0,1,102
78,0,9,1,3,0,0,0,0,1,91
46,1,8,1,43,0,0,0,0,1,99
91,1,12,2,16,0,0,0,0,1,122
81,1,11,1,6,0,0,0,0,1,100
65,2,9,2,23,0,0,0,0,1,101
27,5,10,2,6,0,0,0,0,1,50
67,0,3,0,8,0,0,0,0,1,78
69,2,5,0,13,0,0,0,0,1,89
20,3,12,2,12,0,0,0,0,1,49
60,1,1,0,17,0,0,0,0,1,79
19,0,11,0,38,0,0,0,0,1,68
44,0,9,2,20,0,0,0,0,1,75
61,3,10,0,16,0,0,0,0,1,90
66,3,12,2,44,0,0,0,0,1,127
78,0,8,1,27,0,0,0,0,1,114
80,0,4,1,26,0,0,0,0,1,111
43,2,2,2,1,0,0,0,0,1,50
71,2,9,2,10,0,0,0,0,1,94
52,3,5,2,29,0,0,0,0,1,91
77,1,9,1,29,0,0,0,0,1,117
61,0,10,1,30,0,0,0,0,1,102
21,2,5,1,34,0,0,0,0,1,63
19,0,0,0,35,0,0,0,0,1,54
30,1,3,2,21,0,0,0,0,1,57
52,2,8,2,19,0,0,0,0,1,83
50,1,4,2,43,0,0,0,0,1,100
88,0,11,0,2,0,0,0,0,1,101
58,3,8,0,11,0,0,0,0,1,80
39,4,11,0,2,0,0,0,0,1,56
59,3,4,0,35,0,0,0,0,1,101
20,2,8,1,41,0,0,0,0,1,72
39,4,7,0,21,0,0,0,0,1,71
57,3,10,0,42,0,0,0,0,1,112
31,5,7,0,38,0,0,0,0,1,81
71,1,1,1,27,0,0,0,0,1,101
23,0,7,1,34,0,0,0,0,1,65
45,0,6,2,26,0,0,0,0,1,79
24,2,7,0,37,0,0,0,0,1,70
53,2,3,2,5,0,0,0,0,1,65
83,0,2,2,45,0,0,0,0,1,132
37,3,3,1,27,0,0,0,0,1,71
43,3,12,2,30,0,0,0,0,1,90
59,2,6,2,42,0,0,0,0,1,111
38,1,8,1,9,0,0,0,0,1,57
65,3,11,2,31,0,0,0,0,1,112
62,1,12,1,47,0,0,0,0,1,123
51,2,8,2,27,0,0,0,0,1,90
59,2,2,0,39,0,0,0,0,1,102
26,0,11,1,19,0,0,0,0,1,57
39,5,7,2,18,0,0,0,0,1,71
20,1,6,2,30,0,0,0,0,1,59
82,0,4,1,19,0,0,0,0,1,106
68,1,1,0,43,0,0,0,0,1,113
79,1,8,0,49,0,0,0,0,1,137
83,1,9,0,36,0,0,0,0,1,129
39,1,2,2,13,0,0,0,0,1,57
71,0,1,2,44,0,0,0,0,1,118
58,3,8,0,39,0,0,0,0,1,108
65,2,3,0,43,0,0,0,0,1,113
75,2,9,0,36,0,0,0,0,1,122
19,5,12,0,39,0,0,0,0,1,75
48,3,4,0,30,0,0,0,0,1,85
18,2,12,0,23,0,0,0,0,1,55
72,2,3,0,33,0,0,0,0,1,110
79,1,12,1,33,0,0,0,0,1,126
18,2,4,1,41,0,0,0,0,1,66
74,0,3,2,45,0,0,0,0,1,124
73,0,2,1,33,0,0,0,0,1,109
78,2,10,0,24,0,0,0,0,1,114
89,1,5,2,45,0,0,0,0,1,142
28,3,11,0,41,0,0,0,0,1,83
71,0,8,1,13,0,0,0,0,1,93
79,1,8,1,15,0,0,0,0,1,104
46,0,1,2,43,0,0,0,0,1,92
28,1,2,2,15,0,0,0,0,1,48
63,3,4,2,36,0,0,0,0,1,108
80,1,6,0,43,0,0,0,0,1,130
34,1,10,0,45,0,0,0,0,1,90
76,1,12,2,9,0,0,0,0,1,100
19,0,8,1,29,0,0,0,0,1,57
33,0,5,2,40,0,0,0,0,1,80
42,1,9,2,29,0,0,0,0,1,83
77,0,2,1,44,0,0,0,0,1,124
44,1,10,0,25,0,0,0,0,1,80
88,2,4,0,14,0,0,0,0,1,108
43,5,11,2,45,0,0,0,0,1,106
37,5,11,0,10,0,0,0,0,1,63
19,2,4,0,44,0,0,0,0,1,69
19,5,12,1,36,0,0,0,0,1,73
29,2,12,1,5,0,0,0,0,1,49
71,1,5,2,50,0,0,0,0,1,129
67,1,9,1,11,0,0,0,0,1,89
54,2,7,1,4,0,0,0,0,1,68
88,1,8,2,30,0,0,0,0,1,129
63,0,12,0,18,0,0,0,0,1,93
50,3,6,0,50,0,0,0,0,1,109
65,0,10,2,31,0,0,0,0,1,108
70,1,5,0,12,0,0,0,0,1,88
55,0,11,2,35,0,0,0,0,1,103
87,1,4,0,25,0,0,0,0,1,117
52,1,1,0,35,0,0,0,0,1,89
80,0,11,0,46,0,0,0,0,1,137
51,0,4,0,28,0,0,0,0,1,83
37,0,12,0,13,0,0,0,0,1,62
46,3,5,1,47,0,0,0,0,1,102
69,0,0,1,31,0,0,0,0,1,101
90,0,8,0,33,0,0,0,0,1,131
62,3,4,0,32,0,0,0,0,1,101
27,2,2,2,46,0,0,0,0,1,79
